Word,Dist,Accuracy,Phoneme_Correct,Phoneme_Correct_Percentage,Levenshtein,MaFI
bad,0.31666666666666665,0.3,2.3,0.7666666666666666,0.7,-0.31666666666666665
badge,0.6817708333333334,0.1,2.3,0.45999999999999996,3.2,-0.6817708333333334
bagel,1.212121212121212,0.0,1.8181818181818181,0.30303030303030304,4.454545454545454,-1.212121212121212
bait,0.8684375,0.0,1.9,0.475,2.6,-0.8684375
bakery,0.8860930735930735,0.36363636363636365,3.727272727272727,0.5324675324675324,3.727272727272727,-0.8860930735930735
ball,0.8786458333333332,0.2,1.6,0.5333333333333333,1.5,-0.8786458333333332
bank,1.2021875,0.1,1.6,0.4,2.8,-1.2021875
baptising,1.1055844907407406,0.25,4.083333333333333,0.4537037037037037,5.666666666666667,-1.1055844907407406
barbecue,0.66953125,0.0,4.8,0.6,3.3,-0.66953125
barbeque,1.6796875,0.0,0.0,0.0,8.0,-1.6796875
barely,0.9675,0.1,2.2,0.44000000000000006,3.2,-0.9675
base,0.5696759259259259,0.3333333333333333,2.888888888888889,0.7222222222222222,2.0,-0.5696759259259259
basement,0.93828125,0.2,4.4,0.55,4.1,-0.93828125
bash,0.6302083333333333,0.2,2.2,0.7333333333333333,2.3,-0.6302083333333333
basically,1.206439393939394,0.0,3.3,0.4125,6.6,-1.206439393939394
basket,1.0932088744588746,0.18181818181818182,2.3636363636363638,0.393939393939394,4.818181818181818,-1.0932088744588746
bastard,1.034375,0.0,3.7,0.5285714285714286,4.2,-1.034375
bathhouse,1.1117063492063493,0.1,2.5,0.3571428571428571,5.3,-1.1117063492063493
battery,1.0391666666666666,0.0,3.0,0.5,4.8,-1.0391666666666666
battle,1.0550000000000002,0.0,1.9,0.38,3.2,-1.0550000000000002
bazaar,0.27499999999999997,0.08333333333333333,4.166666666666667,0.8333333333333334,0.9166666666666666,-0.27499999999999997
beak,0.8375,0.0,1.5,0.5,1.7,-0.8375
bear,0.96484375,0.1,1.35,0.45,1.7,-0.96484375
beat,0.6464583333333334,0.1,1.6,0.5333333333333333,2.2,-0.6464583333333334
beautiful,0.238671875,0.85,7.15,0.89375,1.2,-0.238671875
become,1.07125,0.0,2.0,0.4,3.3,-1.07125
bedroom,1.0266369047619048,0.2,2.6,0.4333333333333333,4.0,-1.0266369047619048
beech,0.2041666666666667,0.0,3.9,0.78,1.1,-0.2041666666666667
beer,0.900625,0.3,1.8,0.6,2.6,-0.900625
begin,1.5550000000000002,0.0,1.0,0.2,4.2,-1.5550000000000002
behind,1.0741071428571427,0.0,2.4,0.3428571428571428,4.6,-1.0741071428571427
believe,0.3212202380952381,0.4,3.7,0.74,1.6,-0.3212202380952381
bell,0.6986458333333333,0.4,2.1,0.7,1.4,-0.6986458333333333
belt,0.9275297619047618,0.18181818181818182,1.6818181818181819,0.42045454545454547,3.1363636363636362,-0.9275297619047618
best,0.5079861111111111,0.1111111111111111,2.4444444444444446,0.6111111111111112,2.3333333333333335,-0.5079861111111111
better,0.7766666666666666,0.3,2.5,0.5,2.8,-0.7766666666666666
big,0.95375,0.0,0.9,0.3,2.3,-0.95375
big-ish,1.1448863636363635,0.0,1.8181818181818181,0.30303030303030304,5.636363636363637,-1.1448863636363635
billboard,1.4716923701298703,0.0,2.8181818181818183,0.4025974025974026,5.818181818181818,-1.4716923701298703
bin,0.8189062500000001,0.15,1.45,0.4833333333333333,1.9,-0.8189062500000001
biomed,0.7823206018518518,0.5,5.166666666666667,0.6458333333333334,3.75,-0.7823206018518518
bird,1.0630208333333333,0.3,2.0,0.5,2.2,-1.0630208333333333
bit,0.8732291666666667,0.0,0.6,0.2,3.5,-0.8732291666666667
black,0.3359375,0.5,3.1,0.775,1.2,-0.3359375
blimp,0.42874999999999996,0.5,3.8,0.76,1.5,-0.42874999999999996
blob,0.365,0.7,3.4,0.85,1.1,-0.365
block,0.7875,0.3,2.6,0.65,1.5,-0.7875
